Time	Node	PitItems
865	1	Rtr2	58
866	1	Rtr2	50
867	1	Rtr2	45
868	1	Rtr2	49
869	1	Rtr2	25
870	1	Rtr2	42
871	1	Rtr2	41
872	1	Rtr2	33
873	1	Rtr2	31
874	1	Rtr2	28
875	1	Rtr2	49
876	1	Rtr2	667
877	1	Rtr2	1291
878	1	Rtr2	1295
879	1	Rtr2	1292
880	1	Rtr2	690
881	1	Rtr2	75
882	1	Rtr2	71
883	1	Rtr2	43
884	1	Rtr2	39
885	1	Rtr2	66
886	1	Rtr2	51
887	1	Rtr2	62
888	1	Rtr2	43
889	1	Rtr2	43
890	1	Rtr2	71
891	1	Rtr2	221
892	1	Rtr2	184
893	1	Rtr2	163
894	1	Rtr2	160
895	1	Rtr2	78
896	1	Rtr2	77
897	1	Rtr2	688
898	1	Rtr2	1279
899	1	Rtr2	1281
900	1	Rtr2	1301
901	1	Rtr2	693
902	1	Rtr2	90
903	1	Rtr2	652
904	1	Rtr2	1273
905	1	Rtr2	1302
906	1	Rtr2	1302
907	1	Rtr2	687
908	1	Rtr2	62
909	1	Rtr2	59
910	1	Rtr2	78
911	1	Rtr2	73
912	1	Rtr2	75
913	1	Rtr2	47
914	1	Rtr2	31
915	1	Rtr2	52
916	1	Rtr2	56
917	1	Rtr2	54
918	1	Rtr2	35
919	1	Rtr2	30
920	1	Rtr2	47
921	1	Rtr2	64
922	1	Rtr2	46
923	1	Rtr2	51
924	1	Rtr2	643
925	1	Rtr2	1280
926	1	Rtr2	1283
927	1	Rtr2	1282
928	1	Rtr2	673
929	1	Rtr2	64
930	1	Rtr2	77
931	1	Rtr2	75
932	1	Rtr2	61
933	1	Rtr2	33
934	1	Rtr2	34
935	1	Rtr2	49
936	1	Rtr2	51
937	1	Rtr2	183
938	1	Rtr2	161
939	1	Rtr2	151
940	1	Rtr2	157
941	1	Rtr2	72
942	1	Rtr2	75
943	1	Rtr2	44
944	1	Rtr2	33
945	1	Rtr2	651
946	1	Rtr2	1267
947	1	Rtr2	1274
948	1	Rtr2	1266
949	1	Rtr2	657
950	1	Rtr2	75
951	1	Rtr2	66
952	1	Rtr2	57
953	1	Rtr2	58
954	1	Rtr2	52
955	1	Rtr2	60
956	1	Rtr2	56
957	1	Rtr2	52
958	1	Rtr2	54
959	1	Rtr2	31
960	1	Rtr2	45
961	1	Rtr2	36
962	1	Rtr2	36
963	1	Rtr2	44
964	1	Rtr2	47
965	1	Rtr2	77
966	1	Rtr2	668
967	1	Rtr2	1268
968	1	Rtr2	1249
969	1	Rtr2	1252
970	1	Rtr2	691
971	1	Rtr2	72
972	1	Rtr2	64
973	1	Rtr2	38
974	1	Rtr2	39
975	1	Rtr2	53
976	1	Rtr2	51
977	1	Rtr2	42
978	1	Rtr2	31
979	1	Rtr2	28
980	1	Rtr2	49
981	1	Rtr2	44
982	1	Rtr2	38
983	1	Rtr2	39
984	1	Rtr2	40
985	1	Rtr2	70
986	1	Rtr2	53
987	1	Rtr2	663
988	1	Rtr2	1238
989	1	Rtr2	1244
990	1	Rtr2	1265
991	1	Rtr2	685
992	1	Rtr2	93
993	1	Rtr2	194
994	1	Rtr2	155
995	1	Rtr2	175
996	1	Rtr2	177
997	1	Rtr2	85
998	1	Rtr2	54
999	1	Rtr2	46
1000	1	Rtr2	82
1001	1	Rtr2	193
1002	1	Rtr2	163
1003	1	Rtr2	723
1004	1	Rtr2	1322
1005	1	Rtr2	1269
1006	1	Rtr2	1264
1007	1	Rtr2	678
1008	1	Rtr2	71
1009	1	Rtr2	62
1010	1	Rtr2	83
1011	1	Rtr2	92
1012	1	Rtr2	93
1013	1	Rtr2	48
1014	1	Rtr2	41
1015	1	Rtr2	73
1016	1	Rtr2	54
1017	1	Rtr2	53
1018	1	Rtr2	29
1019	1	Rtr2	45
1020	1	Rtr2	81
1021	1	Rtr2	74
1022	1	Rtr2	69
1023	1	Rtr2	57
1024	1	Rtr2	631
1025	1	Rtr2	1254
1026	1	Rtr2	1256
1027	1	Rtr2	1250
1028	1	Rtr2	655
1029	1	Rtr2	61
1030	1	Rtr2	81
1031	1	Rtr2	67
1032	1	Rtr2	53
1033	1	Rtr2	38
1034	1	Rtr2	34
1035	1	Rtr2	49
1036	1	Rtr2	68
1037	1	Rtr2	45
1038	1	Rtr2	25
1039	1	Rtr2	45
1040	1	Rtr2	58
1041	1	Rtr2	75
1042	1	Rtr2	54
1043	1	Rtr2	39
1044	1	Rtr2	33
1045	1	Rtr2	646
1046	1	Rtr2	1229
1047	1	Rtr2	1232
1048	1	Rtr2	1236
1049	1	Rtr2	654
1050	1	Rtr2	96
1051	1	Rtr2	105
1052	1	Rtr2	104
1053	1	Rtr2	54
1054	1	Rtr2	38
1055	1	Rtr2	65
1056	1	Rtr2	224
1057	1	Rtr2	193
1058	1	Rtr2	178
1059	1	Rtr2	178
1060	1	Rtr2	90
1061	1	Rtr2	94
1062	1	Rtr2	75
1063	1	Rtr2	57
1064	1	Rtr2	46
1065	1	Rtr2	75
1066	1	Rtr2	652
1067	1	Rtr2	1239
1068	1	Rtr2	1221
1069	1	Rtr2	1221
1070	1	Rtr2	679
1071	1	Rtr2	110
1072	1	Rtr2	83
1073	1	Rtr2	62
1074	1	Rtr2	58
1075	1	Rtr2	82
1076	1	Rtr2	80
1077	1	Rtr2	85
1078	1	Rtr2	60
1079	1	Rtr2	50
1080	1	Rtr2	77
1081	1	Rtr2	63
1082	1	Rtr2	68
1083	1	Rtr2	40
1084	1	Rtr2	43
1085	1	Rtr2	66
1086	1	Rtr2	66
1087	1	Rtr2	644
1088	1	Rtr2	1210
1089	1	Rtr2	1220
1090	1	Rtr2	1239
1091	1	Rtr2	671
1092	1	Rtr2	88
1093	1	Rtr2	83
1094	1	Rtr2	60
1095	1	Rtr2	85
1096	1	Rtr2	87
1097	1	Rtr2	72
1098	1	Rtr2	51
1099	1	Rtr2	49
1100	1	Rtr2	73
1101	1	Rtr2	67
1102	1	Rtr2	63
1103	1	Rtr2	42
1104	1	Rtr2	51
1105	1	Rtr2	84
1106	1	Rtr2	90
1107	1	Rtr2	85
1108	1	Rtr2	620
1109	1	Rtr2	1211
1110	1	Rtr2	1248
1111	1	Rtr2	1358
1112	1	Rtr2	755
1113	1	Rtr2	162
1114	1	Rtr2	150
1115	1	Rtr2	110
1116	1	Rtr2	106
1117	1	Rtr2	88
1118	1	Rtr2	63
1119	1	Rtr2	66
1120	1	Rtr2	85
1121	1	Rtr2	103
1122	1	Rtr2	100
1123	1	Rtr2	71
1124	1	Rtr2	71
1125	1	Rtr2	107
1126	1	Rtr2	115
1127	1	Rtr2	115
1128	1	Rtr2	67
1129	1	Rtr2	633
1130	1	Rtr2	1223
1131	1	Rtr2	1226
1132	1	Rtr2	1226
1133	1	Rtr2	648
1134	1	Rtr2	62
1135	1	Rtr2	82
1136	1	Rtr2	81
1137	1	Rtr2	79
